european_football_2,What is the height of the tallest player? Indicate his name.,tallest player refers to MAX(height);,SELECT player_name FROM Player ORDER BY height DESC LIMIT 1,simple,"SELECT Player.player_name 
    FROM Player INNER JOIN llm_player ON Player.player_name = llm_player.player_name AND Player.weight = llm_player.weight
    ORDER BY llm_player.height 
    DESC LIMIT 1",
european_football_2,Which League had the most matches end as draw in the 2016 season?,most matches end as draw refers to MAX(SUM(home_team_goal = away_team_goal)); 2016 season refers to season = '2015/2016';,SELECT t2.name FROM Match AS t1 INNER JOIN League AS t2 ON t1.league_id = t2.id WHERE t1.season = '2015/2016' AND t1.home_team_goal = t1.away_team_goal GROUP BY t2.name ORDER BY COUNT(t1.id) DESC LIMIT 1,moderate,"SELECT t2.league_name 
    FROM Match AS t1 INNER JOIN Team AS awayteam ON t1.away_team_api_id = awayteam.team_api_id 
    INNER JOIN Team AS hometeam ON t1.home_team_api_id = hometeam.team_api_id 
    INNER JOIN llm_match AS t2 ON hometeam.team_long_name = t2.home_team 
        AND awayteam.team_long_name = t2.away_team AND t1.date = t2.date
    WHERE t1.season = '2015/2016' AND t2.home_team_goal = t2.away_team_goal 
    GROUP BY t2.league_name 
    ORDER BY COUNT(t1.id) DESC LIMIT 1",
european_football_2,What is the average height of players born between 1990 and 1995?,"average height = DIVIDE(SUM(height), COUNT(id)); players born between 1990 and 1995 refers to birthday > = '1990-01-01 00:00:00' AND birthday < '1996-01-01 00:00:00';","SELECT SUM(height) / COUNT(id) FROM Player WHERE SUBSTR(birthday, 1, 4) BETWEEN '1990' AND '1995'",simple,"SELECT SUM(T2.height) / COUNT(id) 
    FROM Player AS T1 INNER JOIN llm_player AS T2 ON T1.player_name = T2.player_name AND T1.weight = T2.weight
    WHERE SUBSTR(T2.birthday, 1, 4) BETWEEN '1990' AND '1995'",
european_football_2,List the top 10 players' names whose heights are above 180 in descending order of average heading accuracy.,"height > 180; average heading accuracy = DIVIDE(SUM(heading_accuracy), COUNT(player_fifa_api_id));","SELECT t1.player_name,  CAST(SUM(t2.heading_accuracy) AS REAL) / COUNT(t2.`player_fifa_api_id`)  FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t1.height > 180 GROUP BY t1.id 
    ORDER BY CAST(SUM(t2.heading_accuracy) AS REAL) / COUNT(t2.`player_fifa_api_id`), t1.id DESC LIMIT 10",moderate,"SELECT t1.player_name,  CAST(SUM(t2.heading_accuracy) AS REAL) / COUNT(t2.`player_fifa_api_id`) 
    FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id 
    INNER JOIN llm_player AS t3 ON t1.player_name = t3.player_name AND t1.weight = t3.weight
    WHERE t3.height > 180 
    GROUP BY t1.id 
    ORDER BY CAST(SUM(t2.heading_accuracy) AS REAL) / COUNT(t2.`player_fifa_api_id`), t1.id  DESC LIMIT 10",
european_football_2,Which league had the most goals in the 2016 season?,"league that had the most goals refers to MAX(SUM(home_team_goal, away_team_goal)); 2016 season refers to season = '2015/2016';",SELECT t2.name FROM Match AS t1 INNER JOIN League AS t2 ON t1.league_id = t2.id WHERE t1.season = '2015/2016' GROUP BY t2.name ORDER BY SUM(t1.home_team_goal + t1.away_team_goal) DESC LIMIT 1,moderate,"SELECT t4.league_name 
    FROM Match AS t1 INNER JOIN Team AS t2 on t1.home_team_api_id = t2.team_api_id
    INNER JOIN Team AS t3 ON t1.away_team_api_id = t3.team_api_id
    JOIN llm_match AS t4 ON t2.team_long_name = t4.home_team AND t3.team_long_name = t4.away_team AND t1.date = t4.date
    WHERE T1.season = '2015/2016' 
    GROUP BY t4.league_name 
    ORDER BY SUM(t4.home_team_goal + t4.away_team_goal) DESC LIMIT 1",No league id in match table
european_football_2,"In Scotland Premier League, which away team won the most during the 2010 season?","Scotland Premier League refers to League.name = 'Scotland Premier League'; away team refers to away_team_api_id; away team that won the most refers to MAX(SUBTRACT(away_team_goal, home_team_goal) > 0); 2010 season refers to season = '2009/2010';",SELECT teamInfo.team_long_name FROM League AS leagueData INNER JOIN Match AS matchData ON leagueData.id = matchData.league_id INNER JOIN Team AS teamInfo ON matchData.away_team_api_id = teamInfo.team_api_id WHERE leagueData.name = 'Scotland Premier League' AND matchData.season = '2009/2010' AND matchData.away_team_goal - matchData.home_team_goal > 0 GROUP BY matchData.away_team_api_id ORDER BY COUNT(*) DESC LIMIT 1,challenging,"SELECT away.team_long_name 
    FROM Match AS t1 INNER JOIN Team AS away ON t1.away_team_api_id = away.team_api_id 
    INNER JOIN Team AS home ON t1.home_team_api_id = home.team_api_id
    INNER JOIN llm_match AS t2 ON home.team_long_name = t2.home_team 
        AND away.team_long_name = t2.away_team AND t1.date = t2.date
    WHERE t2.league_name = 'Scotland Premier League' 
        AND t1.season = '2009/2010' 
        AND t2.away_team_goal - t2.home_team_goal > 0 
    GROUP BY t1.away_team_api_id ORDER BY COUNT(*) DESC LIMIT 1",No league id in match table
european_football_2,"At present, calculate for the player's age who have a sprint speed of no less than 97 between 2013 to 2015.","players age at present = SUBTRACT((DATETIME(), birthday)); sprint_speed > = 97; between 2013 to 2015 refers to date > = '2013-01-01 00:00:00' AND date < = '2015-12-31 00:00:00';","SELECT DATETIME() - T2.birthday age FROM Player_Attributes AS t1 INNER JOIN Player AS t2 ON t1.player_api_id = t2.player_api_id WHERE SUBSTR(t1.`date`, 1, 10) BETWEEN '2013-01-01' AND '2015-12-31' AND t1.sprint_speed >= 97",challenging,"SELECT DATETIME() - t3.birthday age 
    FROM Player_Attributes AS t1 INNER JOIN Player AS t2 ON t1.player_api_id = t2.player_api_id 
    JOIN llm_player as t3 ON t2.player_name = t3.player_name
    WHERE SUBSTR(t1.`date`, 1, 10) BETWEEN '2013-01-01' AND '2015-12-31' AND t1.sprint_speed >= 97",No birthday in player table
european_football_2,Give the name of the league with the highest matches of all time and how many matches were played in the said league.,name of the league refers to League.name; league with highest matches of all time refers to MAX(COUNT(league_id));,"SELECT t2.name, COUNT(t1.id) FROM Match AS t1 INNER JOIN League AS t2 ON t1.league_id = t2.id GROUP BY t2.name ORDER BY COUNT(t1.id) DESC LIMIT 1",moderate,"SELECT t2.league_name, COUNT(t1.id) 
    FROM Match AS t1 INNER JOIN Team AS awayteam ON t1.away_team_api_id = awayteam.team_api_id 
    INNER JOIN Team AS hometeam ON t1.home_team_api_id = hometeam.team_api_id 
    INNER JOIN llm_match AS t2 ON hometeam.team_long_name = t2.home_team 
        AND awayteam.team_long_name = t2.away_team AND t1.date = t2.date
    GROUP BY t2.league_name ORDER BY COUNT(t1.id) DESC LIMIT 1",No league id in match table
european_football_2,"Calculate the percentage of unique players who prefer left foot, who were born between 1987 and 1992.","players who prefer left foot refers to preferred_foot = 'left'; percentage of players who prefer left foot = DIVIDE(MULTIPLY((SUM(preferred_foot = 'left'), 1.0)), COUNT(player_fifa_api_id)); born between 1987 and 1992 refers to birthday BETWEEN '1987-01-01 00:00:00'AND '1992-12-31 00:00:00';","WITH temp as (Select DISTINCT player_api_id, preferred_foot FROM Player_Attributes)
SELECT CAST(COUNT(CASE WHEN t2.preferred_foot = 'left' THEN t1.id ELSE NULL END) AS REAL) * 100 / COUNT(t1.id) percent 
    FROM Player AS t1 INNER JOIN temp AS t2 ON t1.player_api_id = t2.player_api_id 
    WHERE SUBSTR(t1.birthday, 1, 4) BETWEEN '1987' AND '1992'",challenging,"SELECT CAST(COUNT(CASE WHEN t2.preferred_foot = 'left' THEN t1.id ELSE NULL END) AS REAL) * 100 / COUNT(t1.id) percent 
    FROM Player AS t1 INNER JOIN llm_player AS t2 ON t1.player_name = t2.player_name AND t1.weight = t2.weight
    WHERE SUBSTR(t2.birthday, 1, 4) BETWEEN '1987' AND '1992'","No birthday in player table, and no preferred foot in player_attributes table"
european_football_2,List the top 5 leagues in ascending order of the number of goals made in all seasons combined.,"number of goals made in all seasons combine = SUM(home_team_goal, away_team_goal);","SELECT t1.name, SUM(t2.home_team_goal) + SUM(t2.away_team_goal) FROM League AS t1 INNER JOIN Match AS t2 ON t1.id = t2.league_id GROUP BY t1.name ORDER BY SUM(t2.home_team_goal) + SUM(t2.away_team_goal) ASC LIMIT 5",moderate,"
SELECT t4.league_name, SUM(t4.home_team_goal) + SUM(t4.away_team_goal) 
    FROM Match AS t1 INNER JOIN Team AS t2 on t1.home_team_api_id = t2.team_api_id
    INNER JOIN Team AS t3 ON t1.away_team_api_id = t3.team_api_id
    JOIN llm_match AS t4 ON t2.team_long_name = t4.home_team AND t3.team_long_name = t4.away_team AND t1.date = t4.date
    GROUP BY t4.league_name ORDER BY SUM(t4.home_team_goal) + SUM(t4.away_team_goal) ASC LIMIT 5",No league id in match table
european_football_2,List the name of leagues in which the average goals by the home team is higher than the away team in the 2009/2010 season.,name of league refers to League.name; average goals by the home team is higher than the away team = AVG(home_team_goal) > AVG(away_team_goal);,SELECT t1.name FROM League AS t1 INNER JOIN Match AS t2 ON t1.id = t2.league_id WHERE t2.season = '2009/2010' GROUP BY t1.name HAVING (CAST(SUM(t2.home_team_goal) AS REAL) / COUNT(DISTINCT t2.id)) - (CAST(SUM(t2.away_team_goal) AS REAL) / COUNT(DISTINCT t2.id)) > 0,challenging,"SELECT t4.league_name 
    FROM Match AS t1 INNER JOIN Team AS t2 on t1.home_team_api_id = t2.team_api_id
    INNER JOIN Team AS t3 ON t1.away_team_api_id = t3.team_api_id
    JOIN llm_match AS t4 ON t2.team_long_name = t4.home_team AND t3.team_long_name = t4.away_team AND t1.date = t4.date
    WHERE t1.season = '2009/2010' GROUP BY t4.league_name 
    HAVING (CAST(SUM(t4.home_team_goal) AS REAL) / COUNT(DISTINCT t1.id)) - (CAST(SUM(t4.away_team_goal) AS REAL) / COUNT(DISTINCT t1.id)) > 0

",No league id in match table
european_football_2,What is the short name of the football team Queens Park Rangers?,short name of the football team refers to team_short_name; Queens Park Rangers refers to team_long_name = 'Queens Park Rangers';,SELECT team_short_name FROM Team WHERE team_long_name = 'Queens Park Rangers',simple,"SELECT llm_team.team_short_name FROM Team JOIN llm_team ON Team.team_long_name = llm_team.team_long_name
    WHERE Team.team_long_name = 'Queens Park Rangers'",No team short name in Team table
european_football_2,List the football players with a birthyear of 1970 and a birthmonth of October.,"players with a birthyear of 1970 and a birthmonth of October refers to substr(birthday,1,4) AS year, substr(birthday,6,2) AS month WHERE year = '1970' AND month = '10';","SELECT player_name FROM Player WHERE SUBSTR(birthday, 1, 7) = '1970-10'",simple,"SELECT T1.player_name 
    FROM Player AS T1 INNER JOIN llm_player AS T2 ON T1.player_name = T2.player_name AND T1.weight = T2.weight
    WHERE SUBSTR(T2.birthday, 1, 7) = '1970-10'",
european_football_2,"How many matches in the 2015/2016 season were held in Scotland Premier League
?",Scotland Premier League refers to League.name = 'Scotland Premier League';,SELECT COUNT(t2.id) FROM League AS t1 INNER JOIN Match AS t2 ON t1.id = t2.league_id WHERE t2.season = '2015/2016' AND t1.name = 'Scotland Premier League',simple,"SELECT COUNT(t1.id) 
    FROM Match AS t1 INNER JOIN Team AS awayteam ON t1.away_team_api_id = awayteam.team_api_id 
    INNER JOIN Team AS hometeam ON t1.home_team_api_id = hometeam.team_api_id 
    INNER JOIN llm_match AS t2 ON hometeam.team_long_name = t2.home_team 
        AND awayteam.team_long_name = t2.away_team AND t1.date = t2.date
    WHERE t1.season = '2015/2016' AND t2.league_name = 'Scotland Premier League'",
european_football_2,What is the preferred foot when attacking of the youngest football player?,preferred foot when attacking refers to preferred_foot; youngest football player refers to latest birthday;,SELECT t2.preferred_foot FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id ORDER BY t1.birthday DESC LIMIT 1,simple,"SELECT T2.preferred_foot 
    FROM Player AS T1 INNER JOIN llm_player AS T2 ON T1.player_name = T2.player_name AND T1.weight = T2.weight
    ORDER BY T2.birthday DESC LIMIT 1",
european_football_2,"Among all the players whose weight is under 130, how many of them preferred foot in attacking is left?",weight < 130; preferred foot in attacking refers to preferred_foot; preferred_foot = 'left';,SELECT COUNT(DISTINCT t1.id) FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id WHERE t1.weight < 130 AND t2.preferred_foot = 'left',moderate,"SELECT COUNT(DISTINCT T1.id) 
    FROM Player AS T1 INNER JOIN llm_player AS T2 ON T1.player_name = T2.player_name AND T1.weight = T2.weight
    WHERE T1.weight < 130 AND T2.preferred_foot = 'left'",
european_football_2,List the football teams that has a chance creation passing class of Risky. Inidcate its short name only.,chance creation passing class refers to chanceCreationPassingClass; chanceCreationPassingClass = 'Risky'; short name refers to team_short_name;,SELECT DISTINCT t1.team_short_name FROM Team AS t1 INNER JOIN Team_attributes AS t2 ON t1.team_api_id = t2.team_api_id WHERE t2.chanceCreationPassingClass = 'Risky',moderate,"
SELECT DISTINCT t3.team_short_name 
    FROM Team AS t1 INNER JOIN Team_attributes AS t2 ON t1.team_api_id = t2.team_api_id
    INNER JOIN llm_team AS t3 ON t1.team_long_name = t3.team_long_name
    WHERE t2.chanceCreationPassingClass = 'Risky'",
european_football_2,When is the birthday of the football player who has the highest overall rating?,football player who has the highest overall rating refers to MAX(overall_rating);,SELECT t1.birthday FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id ORDER BY t2.overall_rating DESC LIMIT 1,simple,"SELECT T3.birthday 
    FROM Player AS t1 INNER JOIN Player_Attributes AS t2 ON t1.player_api_id = t2.player_api_id 
    INNER JOIN llm_player AS T3 ON t1.player_name = T3.player_name AND t1.weight = T3.weight
    ORDER BY t2.overall_rating DESC LIMIT 1",
european_football_2,What is the name of the football league in the country of Netherlands?,name of the football league refers to League.name;,SELECT t2.name FROM Country AS t1 INNER JOIN League AS t2 ON t1.id = t2.country_id WHERE t1.name = 'Netherlands',simple,"SELECT t2.league_name 
    FROM Match AS t1 INNER JOIN Team AS awayteam ON t1.away_team_api_id = awayteam.team_api_id 
    INNER JOIN Team AS hometeam ON t1.home_team_api_id = hometeam.team_api_id 
    INNER JOIN llm_match AS t2 ON hometeam.team_long_name = t2.home_team 
        AND awayteam.team_long_name = t2.away_team AND t1.date = t2.date
    GROUP BY t2.league_name
    HAVING t2.country_name = 'Netherlands'",
